id,player_id,adp,pos_rank,full_name,position,team,date
b934b6d1-f3f7-4e85-9093-61752570be82,7212c057-c051-453d-a287-2c16dcd6781d,182.7,WR78,Rashod Bateman,WR,BAL,2024-05-05
b281e42f-9b24-4361-96c1-7ef192f20315,e936e39d-5930-4dcf-9b74-dd9547e7da5f,182.9,RB56,Khalil Herbert,RB,CHI,2024-05-05
7680a072-4119-42eb-9d1b-031c94180600,5750c050-2514-489d-890d-5e8484e5a078,183.6,RB57,Roschon Johnson,RB,CHI,2024-05-05
c1bf2279-8822-483c-a471-eca605165780,d518b022-5088-480c-b4b0-cfbe8a77f042,185.0,TE24,Tyler Conklin,TE,NYJ,2024-05-05
e1e19ee9-01a4-472f-8e74-626a4607e6d1,38cb1ed6-2217-4572-bf8c-d19ac47d0c84,186.7,WR80,Wan'Dale Robinson,WR,NYG,2024-05-05
8b1ee1f2-c7a2-4e99-a044-780eb97933c7,d91fab35-c660-4340-be36-6300bce92d69,189.7,QB27,Justin Fields,QB,CHI,2024-05-05
36eacb60-5365-4223-9254-718ee383c69d,5a6752f4-7751-4513-92bd-01a949d07495,189.8,RB58,Keaton Mitchell,RB,BAL,2024-05-05
988bab92-36df-41d0-90d3-86d936f37c90,827909b2-9448-4ba0-98e4-f38da30a3806,195.6,QB28,Bryce Young,QB,CAR,2024-05-05
f71fb47b-cb8d-436b-a9ea-3a8f7d4da6f5,05b708b9-ec27-4b6c-a485-5b2994b1a5f3,196.8,TE25,Chigoziem Okonkwo,TE,TEN,2024-05-05
8f7f70cb-d238-4263-a283-67fa1e0d8e88,80be2bb3-d0f1-414c-bedb-9f17befcae71,197.4,TE26,Noah Fant,TE,SEA,2024-05-05
7758c18a-e90d-4730-b4d9-e576e1edde66,16b23189-7d4a-48e6-96c3-cf57ccfd2e6f,199.4,QB29,Derek Carr,QB,NO,2024-05-05
